UniqueID,TempID,Collector,Apidae,Diptera,Apicystis,Ascosphaera,Aspergillus,CrithidiaSpp,CrithidiaBombi,CrithidiaExpoeki,NosemaCeranae,NosemaBombi,Order,Family,Genus,SubGenus,Species,Determiner,Date,Lat,Long
SF1042,1042,ML,,,,,,,,,,,,,,,,,6/14/19,38.5923025,-121.985363
SF1043,1043,ML,,,,,,,,,,,,,,,,,6/14/19,38.5923025,-121.985363
SF1044,1044,ML,,,,,,,,,,,,,,,,,6/14/19,38.5923025,-121.985363
SF1045,1045,ML,,,,,,,,,,,,,,,,,6/14/19,38.5923025,-121.985363
SF1046,1046,ML,1,,,,,,,,,1,Hymenoptera,Apidae,Bombus,Pyrobombus,melanopygus,K.Watrous,6/14/19,38.5923025,-121.985363
SF1047,1047,ML,,1,,,,,,,,,Diptera,Syrphidae,Allograpta,,exotica,A.Onos,6/14/19,38.5923025,-121.985363
SF1048,1048,ML,,,,,,,,,,,Diptera,Syrphidae,Eupeodes,,volucris,A.Onos,6/14/19,38.5923025,-121.985363
SF1049,1049,ML,,1,,,,1,,,,,Diptera,Syrphidae,Eupeodes,,fumipennis,A.Onos,6/14/19,38.5923025,-121.985363
SF1050,1050,ML,,,,,,,,,,,Diptera,Syrphidae,Sphaerophoria,,sp,A.Onos,6/14/19,38.5923025,-121.985363
SF1051,1051,ML,,,,,,,,,,,Diptera,Syrphidae,Sphaerophoria,,sp,A.Onos,6/14/19,38.5923025,-121.985363
SF1052,1052,ML,,1,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/14/19,38.5923025,-121.985363
SF1053,1053,ML,,,,,,,,,,,,,,,,,6/14/19,38.5923025,-121.985363
SF1054,1054,ML,,,,,,,,,,,,,,,,,6/13/19,38.7672762,-121.748527
SF1055,1055,HP,1,,,,,,,,,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.6348936,-121.9974158
SF1056,1056,HP,1,,1,1,,,,,,1,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.6348936,-121.9974158
SF1057,1057,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1058,1058,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1059,1059,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1060,1060,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1061,1061,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1062,1062,HP,1,,,,,,,,,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.6348936,-121.9974158
SF1063,1063,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1064,1064,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1065,1065,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1066,1066,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1067,1067,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1068,1068,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1069,1069,HP,1,,,,,,,,,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.6348936,-121.9974158
SF1070,1070,HP,1,,,1,,,1,,,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.6348936,-121.9974158
SF1071,1071,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1072,1072,HP,1,,1,1,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.6348936,-121.9974158
SF1073,1073,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1074,1074,HP,1,,1,,,,,,,,Hymenoptera,Halictidae,Halictus,Seladonia,tripartitus,H.Cohen,6/14/19,38.6348936,-121.9974158
SF1075,1075,HP,,,,,,,,,,,Diptera,Syrphidae,Eupeodes,,volucris,A.Onos,6/14/19,38.6348936,-121.9974158
SF1076,1076,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1077,1077,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1078,1078,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1079,1079,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1080,1080,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1081,1081,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1082,1082,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1083,1083,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1084,1084,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1085,1085,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1086,1086,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1087,1087,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1088,1088,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1089,1089,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1090,1090,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1091,1091,HP,,,,,,,,,,,,,,,,,6/14/19,38.6348936,-121.9974158
SF1092,1092,HP,,1,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/14/19,38.6348936,-121.9974158
SF1093,1093,HP,,1,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/14/19,38.6348936,-121.9974158
SF1094,1094,HP,,1,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/14/19,38.6348936,-121.9974158
SF1095,1095,HP,,,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/14/19,38.6348936,-121.9974158
SF1096,1096,HP,,,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/14/19,38.6348936,-121.9974158
SF1097,1097,JS,1,,,,,,,,1,,Hymenoptera,Apidae,Peponapis,Peponapis,pruinosa,K.Watrous,6/14/19,38.545401,-121.943613
SF1098,1098,JS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1099,1099,JS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1100,1100,JS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1101,1101,JS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1102,1102,JS,1,,1,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1103,1103,JS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1104,1104,JS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1105,1105,JS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1106,1106,JS,1,,,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,K.Watrous,6/14/19,38.545401,-121.943613
SF1107,1107,JS,1,,,1,,,,1,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1108,1108,JS,1,,,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,K.Watrous,6/14/19,38.545401,-121.943613
SF1109,1109,JS,1,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,K.Watrous,6/14/19,38.545401,-121.943613
SF1110,1110,JS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1111,1111,JS,1,,,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,K.Watrous,6/14/19,38.545401,-121.943613
SF1112,1112,JS,1,,,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1113,1113,JS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1114,1114,JS,,1,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/14/19,38.545401,-121.943613
SF1115,1115,JS,,1,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/14/19,38.545401,-121.943613
SF1116,1116,JS,,,,,,,,,,,,,,,,,6/14/19,38.545401,-121.943613
SF1117,1117,JS,,,,,,,,,,,,,,,,,6/14/19,38.545401,-121.943613
SF1118,1118,JS,,,,,,,,,,,,,,,,,6/14/19,38.545401,-121.943613
SF1119,1119,JS,,,,,,,,,,,,,,,,,6/14/19,38.545401,-121.943613
SF1120,1120,JS,,,,,,,,,,,,,,,,,6/14/19,38.545401,-121.943613
SF1121,1121,GS,1,,,1,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.545401,-121.943613
SF1122,1122,GS,1,,,,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.545401,-121.943613
SF1123,1123,GS,1,,,,,,,,,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.545401,-121.943613
SF1124,1124,GS,1,,,,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.545401,-121.943613
SF1125,1125,GS,1,,1,,,,,1,,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.545401,-121.943613
SF1126,1126,GS,1,,1,,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/14/19,38.545401,-121.943613
SF1127,1127,GS,,,,,,,,,,,,,,,,,6/14/19,38.545401,-121.943613
SF1128,1128,GS,,,,,,,,,,,,,,,,,6/14/19,38.545401,-121.943613
SF1129,1129,GS,,1,,,,,,,,,Diptera,Syrphidae,Helophilus,,latifrons,A.Onos,6/14/19,38.545401,-121.943613
SF1130,1130,GS,,1,,,,,,,,,Diptera,Syrphidae,Allograpta,,exotica,A.Onos,6/14/19,38.545401,-121.943613
SF1131,1131,GS,,,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/14/19,38.545401,-121.943613
SF1132,1132,GS,1,,,,,,,,,1,Hymenoptera,Halictidae,Halictus,Halictus,ligatus,H.Cohen,6/14/19,38.545401,-121.943613
SF1133,1133,GS,1,,1,1,,,1,,,,Hymenoptera,Halictidae,Lasioglossum,Dialictus,incompletum,D.Yanega,6/14/19,38.545401,-121.943613
SF1134,1134,GS,1,,1,1,,,,,,,Hymenoptera,Halictidae,Lasioglossum,Dialictus,incompletum,D.Yanega,6/14/19,38.545401,-121.943613
SF1135,1135,GS,1,,1,,,1,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1136,1136,GS,1,,1,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1137,1137,GS,1,,,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1138,1138,GS,1,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1139,1139,GS,1,,1,1,,,,1,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1140,1140,GS,1,,,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,K.Watrous,6/14/19,38.545401,-121.943613
SF1141,1141,GS,1,,1,,,,,,1,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1142,1142,GS,1,,1,,,,,1,1,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1143,1143,GS,,,,,,,,,,,,,,,,,6/14/19,38.545401,-121.943613
SF1144,1144,GS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1145,1145,GS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1146,1146,GS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1147,1147,GS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1148,1148,GS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1149,1149,GS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1150,1150,GS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1151,1151,GS,,1,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/14/19,38.545401,-121.943613
SF1152,1152,GS,,,,,,,,,,,,,,,,,6/14/19,38.545401,-121.943613
SF1153,1153,GS,,,,,,,,,,,,,,,,,6/14/19,38.545401,-121.943613
SF1154,1154,ML,1,,,1,,,,,,,Hymenoptera,Halictidae,Lasioglossum,Dialictus,incompletum,D.Yanega,6/15/19,38.6805569,-121.9396055
SF1155,1155,ML,1,,,1,,,,,,,Hymenoptera,Halictidae,Halictus,Seladonia,tripartitus,H.Cohen,6/15/19,38.6805569,-121.9396055
SF1156,1156,ML,,,,,,,,,,,,,,,,,6/15/19,38.6805569,-121.9396055
SF1157,1157,ML,,1,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/15/19,38.6805569,-121.9396055
SF1158,1158,ML,,,,,,,,,,,,,,,,,6/15/19,38.6805569,-121.9396055
SF1159,1159,ML,1,,,,,,1,,1,,Hymenoptera,Apidae,Melissodes,,agilis,K.Watrous,6/15/19,38.6805569,-121.9396055
SF1160,1160,ML,1,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.6805569,-121.9396055
SF1161,1161,ML,1,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.6805569,-121.9396055
SF1162,1162,ML,1,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.6805569,-121.9396055
SF1163,1163,ML,1,,1,1,,,,,1,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.6805569,-121.9396055
SF1164,1164,ML,1,,,,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/15/19,38.6805569,-121.9396055
SF1165,1165,ML,1,,1,,,,,1,,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/15/19,38.6805569,-121.9396055
SF1166,1166,ML,1,,,,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/15/19,38.6805569,-121.9396055
SF1167,1167,ML,1,,,,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/15/19,38.6805569,-121.9396055
SF1168,1168,ML,1,,,,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/15/19,38.6805569,-121.9396055
SF1169,1169,ML,1,,1,,,,,,1,,Hymenoptera,Apidae,Apis,Apis,mellifera,L.C. Ponisio,6/15/19,38.6805569,-121.9396055
SF1170,1170,ML,,,,,,,,,,,,,,,,,6/15/19,38.6805569,-121.9396055
SF1171,1171,ML,,,,,,,,,,,,,,,,,6/15/19,38.6805569,-121.9396055
SF1172,1172,ML,,,,,,,,,,,,,,,,,6/15/19,38.6805569,-121.9396055
SF1173,1173,ML,,,,,,,,,,,,,,,,,6/15/19,38.6805569,-121.9396055
SF1174,1174,ML,,,,,,,,,,,,,,,,,6/15/19,38.6805569,-121.9396055
SF1175,1175,ML,,,,,,,,,,,,,,,,,6/15/19,38.6805569,-121.9396055
SF1176,1176,ML,1,,,1,,1,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.6805569,-121.9396055
SF1177,1177,ML,1,,1,1,,,,1,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.6805569,-121.9396055
SF1178,1178,ML,1,,,1,,,,,1,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.6805569,-121.9396055
SF1179,1179,ML,,1,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/15/19,38.6805569,-121.9396055
SF1180,1180,ML,,,,,,,,,,,Diptera,Syrphidae,Eupeodes,,fumipennis,A.Onos,6/15/19,38.6805569,-121.9396055
SF1181,1181,ML,,1,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/15/19,38.6805569,-121.9396055
SF1182,1182,JS,1,,,1,,,,,1,,Hymenoptera,Apidae,Svastra,,obliqua,K.Watrous,6/15/19,38.591119,-121.968234
SF1183,1183,JS,1,,1,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.591119,-121.968234
SF1184,1184,JS,1,,,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.591119,-121.968234
SF1185,1185,JS,1,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.591119,-121.968234
SF1186,1186,JS,1,,,,,1,,,,,Hymenoptera,Apidae,Diadasia,,enavata,K.Watrous,6/15/19,38.591119,-121.968234
SF1187,1187,JS,1,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.591119,-121.968234
SF1188,1188,JS,1,,,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.591119,-121.968234
SF1189,1189,JS,1,,1,1,,,,,,,Hymenoptera,Halictidae,Lasioglossum,Dialictus,incompletum,D.Yanega,6/15/19,38.591119,-121.968234
SF1190,1190,JS,1,,1,1,,,,,,,Hymenoptera,Halictidae,Lasioglossum,Dialictus,incompletum,D.Yanega,6/15/19,38.591119,-121.968234
SF1191,1191,JS,1,,1,1,,,,,,,Hymenoptera,Halictidae,Lasioglossum,Dialictus,incompletum,D.Yanega,6/15/19,38.591119,-121.968234
SF1192,1192,JS,,,,,,,,,,,,,,,,,6/15/19,38.591119,-121.968234
SF1193,1193,JS,,,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/15/19,38.591119,-121.968234
SF1194,1194,JS,,,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/15/19,38.591119,-121.968234
SF1195,1195,JS,,,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/15/19,38.591119,-121.968234
SF1196,1196,JS,,,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/15/19,38.591119,-121.968234
SF1197,1197,JS,,1,,,,,,,,,Diptera,Syrphidae,Paragus,,sp,A.Onos,6/15/19,38.591119,-121.968234
SF1198,1198,JS,,,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/15/19,38.591119,-121.968234
SF1199,1199,JS,,1,,,,,,,,,Diptera,Syrphidae,Allograpta,,exotica,A.Onos,6/15/19,38.591119,-121.968234
SF1200,1200,JS,,,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/15/19,38.591119,-121.968234
SF1201,1201,JS,,,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/15/19,38.591119,-121.968234
SF1202,1202,JS,,,,,,,,,,,Diptera,Syrphidae,Toxomerus,,marginatus,A.Onos,6/15/19,38.591119,-121.968234
SF1203,1203,JS,,,,,,,,,,,,,,,,,6/15/19,38.591119,-121.968234
SF1204,1204,JS,,,,,,,,,,,,,,,,,6/15/19,38.591119,-121.968234
SF1205,1205,JS,,,,,,,,,,,,,,,,,6/15/19,38.591119,-121.968234
SF1206,1206,JS,1,,,1,,,,,,,Hymenoptera,Apidae,Diadasia,,enavata,K.Watrous,6/15/19,38.591119,-121.968234
SF1207,1207,GS,1,,1,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.591119,-121.968234
SF1208,1208,GS,1,,,1,,1,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.591119,-121.968234
SF1209,1209,GS,1,,1,1,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.591119,-121.968234
SF1210,1210,GS,1,,,1,,1,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.591119,-121.968234
SF1211,1211,GS,,,,,,,,,,,,,,,,,6/15/19,38.591119,-121.968234
SF1212,1212,GS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.591119,-121.968234
SF1213,1213,GS,,,,,,,,,,,Hymenoptera,Apidae,Melissodes,,agilis,H.Cohen,6/15/19,38.591119,-121.968234
