family,father,mother,midparentHeight,children,childNum,gender,childHeight
89,70.5,62.0,68.73,8,4,male,69.5
89,70.5,62.0,68.73,8,5,male,68.0
89,70.5,62.0,68.73,8,6,female,65.0
89,70.5,62.0,68.73,8,7,female,64.0
89,70.5,62.0,68.73,8,8,female,63.0
90,70.3,62.7,69.008,7,1,male,70.7
90,70.3,62.7,69.008,7,2,male,69.7
90,70.3,62.7,69.008,7,3,male,69.2
90,70.3,62.7,69.008,7,4,male,65.2
90,70.3,62.7,69.008,7,5,female,64.0
90,70.3,62.7,69.008,7,6,female,63.5
90,70.3,62.7,69.008,7,7,female,63.2
91,70.5,62.0,68.73,3,1,male,72.0
91,70.5,62.0,68.73,3,2,male,72.0
91,70.5,62.0,68.73,3,3,female,60.0
92,70.0,61.0,67.94,2,1,male,71.2
92,70.0,61.0,67.94,2,2,male,67.0
93,70.0,60.0,67.4,4,1,male,67.0
93,70.0,60.0,67.4,4,2,male,64.5
93,70.0,60.0,67.4,4,3,female,65.0
93,70.0,60.0,67.4,4,4,female,63.0
94,70.0,60.0,67.4,2,1,female,65.0
94,70.0,60.0,67.4,2,2,female,65.0
95,70.0,58.5,66.59,3,1,male,71.5
95,70.0,58.5,66.59,3,2,male,64.5
95,70.0,58.5,66.59,3,3,female,63.0
96,70.0,58.0,66.32,5,1,male,72.0
96,70.0,58.0,66.32,5,2,male,66.0
96,70.0,58.0,66.32,5,3,female,66.0
96,70.0,58.0,66.32,5,4,female,65.0
96,70.0,58.0,66.32,5,5,female,63.0
97,69.0,68.5,71.49,10,1,male,75.0
97,69.0,68.5,71.49,10,2,male,71.0
97,69.0,68.5,71.49,10,3,male,70.0
97,69.0,68.5,71.49,10,4,female,66.0
97,69.0,68.5,71.49,10,5,female,66.0
97,69.0,68.5,71.49,10,6,female,65.5
97,69.0,68.5,71.49,10,7,female,65.0
97,69.0,68.5,71.49,10,8,female,65.0
97,69.0,68.5,71.49,10,9,female,64.0
97,69.0,68.5,71.49,10,10,female,64.0
98,69.0,67.0,70.68,1,1,female,64.0
99,69.0,66.0,70.14,8,1,male,73.0
99,69.0,66.0,70.14,8,2,male,72.0
99,69.0,66.0,70.14,8,3,male,71.7
99,69.0,66.0,70.14,8,4,male,71.5
99,69.0,66.0,70.14,8,5,female,65.5
99,69.0,66.0,70.14,8,6,female,65.0
99,69.0,66.0,70.14,8,7,female,62.7
99,69.0,66.0,70.14,8,8,female,62.5
100,69.0,66.0,70.14,3,1,male,71.2
100,69.0,66.0,70.14,3,2,male,71.0
100,69.0,66.0,70.14,3,3,male,70.0
101,69.0,66.7,70.518,4,1,male,75.0
101,69.0,66.7,70.518,4,2,male,74.0
101,69.0,66.7,70.518,4,3,male,72.0
101,69.0,66.7,70.518,4,4,male,68.5
102,69.0,66.0,70.14,6,1,male,70.0
102,69.0,66.0,70.14,6,2,male,68.5
102,69.0,66.0,70.14,6,3,male,68.0
102,69.0,66.0,70.14,6,4,female,65.0
102,69.0,66.0,70.14,6,5,female,63.0
102,69.0,66.0,70.14,6,6,female,62.5
103,69.0,66.5,70.41,7,1,male,73.0
103,69.0,66.5,70.41,7,2,male,71.0
103,69.0,66.5,70.41,7,3,male,70.5
103,69.0,66.5,70.41,7,4,male,70.5
103,69.0,66.5,70.41,7,5,male,67.0
103,69.0,66.5,70.41,7,6,male,66.0
103,69.0,66.5,70.41,7,7,female,61.0
104,69.5,66.5,70.66,4,1,male,70.5
104,69.5,66.5,70.66,4,2,male,67.5
104,69.5,66.5,70.66,4,3,female,64.5
104,69.5,66.5,70.66,4,4,female,64.0
105,69.0,66.5,70.41,6,1,male,71.0
105,69.0,66.5,70.41,6,2,female,68.5
105,69.0,66.5,70.41,6,3,female,67.5
105,69.0,66.5,70.41,6,4,female,66.0
105,69.0,66.5,70.41,6,5,female,63.0
105,69.0,66.5,70.41,6,6,female,63.0
106,69.5,66.0,70.39,7,1,male,71.0
106,69.5,66.0,70.39,7,2,male,71.0
106,69.5,66.0,70.39,7,3,male,70.5
106,69.5,66.0,70.39,7,4,male,70.5
106,69.5,66.0,70.39,7,5,female,66.5
106,69.5,66.0,70.39,7,6,female,65.5
106,69.5,66.0,70.39,7,7,female,64.5
107,69.0,66.0,70.14,9,1,male,73.0
107,69.0,66.0,70.14,9,2,male,72.0
107,69.0,66.0,70.14,9,3,male,69.0
107,69.0,66.0,70.14,9,4,male,69.0
107,69.0,66.0,70.14,9,5,female,66.5
107,69.0,66.0,70.14,9,6,female,65.5
107,69.0,66.0,70.14,9,7,female,65.5
107,69.0,66.0,70.14,9,8,female,65.0
107,69.0,66.0,70.14,9,9,female,64.0
108,69.0,65.0,69.6,7,1,male,70.0
108,69.0,65.0,69.6,7,2,male,68.5
108,69.0,65.0,69.6,7,3,male,67.0
108,69.0,65.0,69.6,7,4,female,65.0
108,69.0,65.0,69.6,7,5,female,64.0
108,69.0,65.0,69.6,7,6,female,63.5
108,69.0,65.0,69.6,7,7,female,61.0
109,69.5,64.5,69.58,7,1,male,69.7
109,69.5,64.5,69.58,7,2,male,68.0
109,69.5,64.5,69.58,7,3,male,60.0
109,69.5,64.5,69.58,7,4,female,65.2
109,69.5,64.5,69.58,7,5,female,64.5
109,69.5,64.5,69.58,7,6,female,63.7
109,69.5,64.5,69.58,7,7,female,60.0
110,69.2,64.0,69.16,4,1,male,71.7
110,69.2,64.0,69.16,4,2,male,66.5
110,69.2,64.0,69.16,4,3,female,65.0
110,69.2,64.0,69.16,4,4,female,63.5
111,69.0,63.5,68.79,1,1,female,65.5
112,69.0,63.0,68.52,3,1,male,69.0
112,69.0,63.0,68.52,3,2,female,67.5
112,69.0,63.0,68.52,3,3,female,63.5
113,69.0,63.0,68.52,1,1,male,72.0
114,69.0,63.0,68.52,6,1,male,73.0
114,69.0,63.0,68.52,6,2,male,70.0
114,69.0,63.0,68.52,6,3,male,70.0
114,69.0,63.0,68.52,6,4,male,64.0
114,69.0,63.0,68.52,6,5,female,66.0
114,69.0,63.0,68.52,6,6,female,62.0
115,69.0,63.5,68.79,7,1,male,70.5
115,69.0,63.5,68.79,7,2,male,67.0
115,69.0,63.5,68.79,7,3,male,66.0
115,69.0,63.5,68.79,7,4,female,65.0
115,69.0,63.5,68.79,7,5,female,63.0
115,69.0,63.5,68.79,7,6,female,62.0
115,69.0,63.5,68.79,7,7,female,61.0
116,69.0,63.5,68.79,3,1,male,70.5
116,69.0,63.5,68.79,3,2,female,63.7
116,69.0,63.5,68.79,3,3,female,63.0
117,69.7,62.0,68.33,1,1,female,62.5
118,69.5,62.0,68.23,3,1,male,73.0
118,69.5,62.0,68.23,3,2,male,72.0
118,69.5,62.0,68.23,3,3,male,69.0
119,69.0,62.0,67.98,5,1,male,73.0
119,69.0,62.0,67.98,5,2,male,71.0
119,69.0,62.0,67.98,5,3,male,71.0
119,69.0,62.0,67.98,5,4,male,69.0
119,69.0,62.0,67.98,5,5,female,63.0
120,69.5,62.0,68.23,11,1,male,72.0
120,69.5,62.0,68.23,11,2,male,70.0
120,69.5,62.0,68.23,11,3,male,67.8
120,69.5,62.0,68.23,11,4,female,65.2
120,69.5,62.0,68.23,11,5,female,64.7
120,69.5,62.0,68.23,11,6,female,64.5
120,69.5,62.0,68.23,11,7,female,63.5
120,69.5,62.0,68.23,11,8,female,63.5
120,69.5,62.0,68.23,11,9,female,62.5
120,69.5,62.0,68.23,11,10,female,62.0
120,69.5,62.0,68.23,11,11,female,61.5
121,69.0,62.5,68.25,8,1,male,71.0
121,69.0,62.5,68.25,8,2,male,70.0
121,69.0,62.5,68.25,8,3,male,70.0
121,69.0,62.5,68.25,8,4,male,69.0
121,69.0,62.5,68.25,8,5,female,63.5
121,69.0,62.5,68.25,8,6,female,62.5
121,69.0,62.5,68.25,8,7,female,62.5
121,69.0,62.5,68.25,8,8,female,62.0
122,69.0,62.0,67.98,4,1,male,72.0
122,69.0,62.0,67.98,4,2,male,68.0
122,69.0,62.0,67.98,4,3,female,66.0
122,69.0,62.0,67.98,4,4,female,66.0
123,69.5,61.0,67.69,5,1,male,70.0
123,69.5,61.0,67.69,5,2,male,69.5
123,69.5,61.0,67.69,5,3,male,69.0
123,69.5,61.0,67.69,5,4,female,63.0
123,69.5,61.0,67.69,5,5,female,62.0
124,69.0,61.0,67.44,9,1,male,68.0
124,69.0,61.0,67.44,9,2,male,68.0
124,69.0,61.0,67.44,9,3,male,67.5
124,69.0,61.0,67.44,9,4,male,64.0
124,69.0,61.0,67.44,9,5,male,63.0
124,69.0,61.0,67.44,9,6,male,63.0
124,69.0,61.0,67.44,9,7,female,63.5
124,69.0,61.0,67.44,9,8,female,62.0
124,69.0,61.0,67.44,9,9,female,62.0
125,69.0,60.0,66.9,3,1,male,70.5
125,69.0,60.0,66.9,3,2,female,68.0
125,69.0,60.0,66.9,3,3,female,62.5
126,69.0,60.0,66.9,4,1,male,69.0
126,69.0,60.0,66.9,4,2,male,66.0
126,69.0,60.0,66.9,4,3,female,61.7
126,69.0,60.0,66.9,4,4,female,60.5
127,69.0,60.5,67.17,1,1,male,69.5
128,68.7,70.5,72.42,2,1,male,71.0
128,68.7,70.5,72.42,2,2,female,61.7
129,68.5,67.0,70.43,3,1,male,73.0
129,68.5,67.0,70.43,3,2,male,71.0
129,68.5,67.0,70.43,3,3,female,67.0
130,68.5,66.5,70.16,11,1,male,70.0
130,68.5,66.5,70.16,11,2,male,69.0
130,68.5,66.5,70.16,11,3,male,69.0
130,68.5,66.5,70.16,11,4,male,68.7
130,68.5,66.5,70.16,11,5,male,68.5
130,68.5,66.5,70.16,11,6,male,68.5
